Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100nF,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x125257690> >
C10,CP_Axial_L11.0mm_D8.0mm_P15.00mm_Horizontal,1,100uF,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124cc8b70> >
C11,0805,1,100nF,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124cc8450> >
C12,0805,1,100nF,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124cc8180> >
C2,0805,1,100nF,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124cc8840> >
C3,0805,1,100nF,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124c71570> >
C4,0805,1,100nF,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124c71660> >
C5,0805,1,47pF,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124c71f30> >
C6,0805,1,47pF,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124c71bd0> >
C7,0805,1,100nF,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124c71ba0> >
C8,0805,1,100nF,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124c71a50> >
C9,CP_Axial_L11.0mm_D8.0mm_P15.00mm_Horizontal,1,100uF,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124c71a20> >
D1,0805,1,Red,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124c71420> >
D2,0805,1,Yellow,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124c71b40> >
D3,0805,1,Red,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124c71630> >
D4,0805,1,Yellow,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124c71600> >
D5,0805,1,Green,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124c71c60> >
D6,D_SOD-123,1,1N4148W,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x124c715a0> >
D7,D_SOD-123,1,1N4148W,<pcbnew.PCB_FIELD; proxy of <Swig Object of type 'PCB_FIELD *' at 0x1259c8b40> >
