Designator,Mid X,Mid Y,Rotation,Layer
C1,148.59,-87.63,90.0,top
C10,134.86,-76.2,180.0,bottom
C11,146.05,-87.63,90.0,top
C12,146.05,-96.52,270.0,top
C2,143.51,-96.52,270.0,top
C3,134.62,-119.38,270.0,top
C4,134.62,-106.68,90.0,top
C5,153.67,-90.17,0.0,top
C6,153.67,-96.52,0.0,top
C7,160.02,-76.2,270.0,top
C8,160.02,-63.5,90.0,top
C9,159.9,-119.38,0.0,bottom
D1,156.21,-52.9675,90.0,top
D2,153.67,-52.9675,90.0,top
D3,163.83,-52.9675,90.0,top
D4,161.29,-52.9675,90.0,top
D5,143.51,-53.0075,90.0,top
D6,155.275,-83.82,180.0,top
D7,155.32,-81.28,180.0,top
D8,155.32,-86.36,0.0,top
D9,155.32,-78.74,0.0,top
FB1,160.02,-81.28,180.0,top
FB2,160.02,-83.82,180.0,top
FB3,160.02,-86.36,0.0,top
J1,128.27,-95.25,90.0,bottom
J2,175.43,-113.03,90.0,bottom
J3,175.43,-99.26,90.0,bottom
J4,167.0,-123.0,90.0,bottom
J5,139.45,-69.0,270.0,bottom
J6,175.43,-85.09,90.0,bottom
J7,144.78,-59.69,270.0,bottom
J8,164.592,-92.456,270.0,bottom
J9,164.622,-106.172,270.0,bottom
R1,150.7725,-113.03,0.0,top
R10,153.67,-99.06,0.0,top
R11,163.83,-74.93,0.0,top
R12,167.64,-74.93,0.0,top
R13,163.83,-77.47,0.0,top
R14,156.21,-57.15,90.0,top
R15,153.67,-57.15,90.0,top
R16,163.83,-57.15,90.0,top
R17,161.29,-57.15,90.0,top
R18,140.97,-52.9825,90.0,top
R2,150.7725,-115.57,0.0,top
R3,142.24,-113.03,180.0,top
R4,146.05,-113.03,0.0,top
R5,127.0,-113.03,180.0,top
R6,127.0,-110.49,0.0,top
R7,138.43,-92.71,180.0,top
R8,153.67,-92.71,0.0,top
R9,138.43,-90.17,180.0,top
U1,134.62,-113.095,90.0,top
U2,160.0325,-69.915,90.0,top
U3,146.115,-92.075,0.0,top
