Designator,Mid X,Mid Y,Rotation,Layer
C1,90.142,-103.378,0.0,top
C10,65.278,-100.584,180.0,top
C11,126.492,-100.838,0.0,top
C12,66.012,-98.806,180.0,top
C13,127.028,-99.06,0.0,top
C2,100.81,-103.378,0.0,top
C3,111.379,-103.378,0.0,top
C4,122.019,-103.378,0.0,top
C5,132.715,-103.378,0.0,top
C6,58.067,-103.378,0.0,top
C7,68.735,-103.378,0.0,top
C8,79.53,-103.378,0.0,top
C9,143.411,-103.378,0.0,top
D1,56.386,-87.2975,90.0,top
D10,79.246,-87.2975,90.0,top
D11,81.786,-87.2975,90.0,top
D12,84.326,-87.2975,90.0,top
D13,86.866,-87.2975,90.0,top
D14,89.406,-87.2975,90.0,top
D15,91.946,-87.2975,90.0,top
D16,94.486,-87.2975,90.0,top
D17,97.026,-87.2975,90.0,top
D18,99.566,-87.2975,90.0,top
D19,102.106,-87.2975,90.0,top
D2,58.926,-87.2975,90.0,top
D20,104.646,-87.2975,90.0,top
D21,107.186,-87.2975,90.0,top
D22,109.726,-87.2975,90.0,top
D23,112.266,-87.2975,90.0,top
D24,114.806,-87.2975,90.0,top
D25,117.346,-87.2975,90.0,top
D26,119.886,-87.2975,90.0,top
D27,122.426,-87.2975,90.0,top
D28,124.966,-87.2975,90.0,top
D29,127.506,-87.2975,90.0,top
D3,61.466,-87.2975,90.0,top
D30,130.046,-87.2975,90.0,top
D31,132.586,-87.2975,90.0,top
D32,135.126,-87.2975,90.0,top
D33,76.708,-94.5365,90.0,top
D34,79.248,-94.5365,90.0,top
D35,81.788,-94.5365,90.0,top
D36,84.328,-94.5365,90.0,top
D37,86.868,-94.5365,90.0,top
D38,89.408,-94.5365,90.0,top
D39,91.948,-94.5365,90.0,top
D4,64.006,-87.2975,90.0,top
D40,94.488,-94.5365,90.0,top
D41,97.028,-94.5365,90.0,top
D42,99.568,-94.5365,90.0,top
D43,102.108,-94.5365,90.0,top
D44,104.648,-94.5365,90.0,top
D45,114.808,-94.488,270.0,top
D46,117.348,-94.488,270.0,top
D47,119.888,-94.488,270.0,top
D48,122.428,-94.488,270.0,top
D49,127.508,-94.488,270.0,top
D5,66.546,-87.2975,90.0,top
D50,130.048,-94.488,270.0,top
D51,132.588,-94.488,270.0,top
D52,135.128,-94.488,270.0,top
D53,56.388,-94.742,270.0,top
D54,66.548,-94.615,270.0,top
D6,69.086,-87.2975,90.0,top
D7,71.626,-87.2975,90.0,top
D8,74.166,-87.2975,90.0,top
D9,76.706,-87.2975,90.0,top
R1,55.878,-90.17,0.0,top
R10,78.736,-90.17,0.0,top
R11,81.276,-90.17,0.0,top
R12,83.816,-90.17,0.0,top
R13,86.356,-90.17,0.0,top
R14,88.896,-90.17,0.0,top
R15,91.436,-90.17,0.0,top
R16,93.976,-90.17,0.0,top
R17,96.516,-90.17,0.0,top
R18,99.056,-90.17,0.0,top
R19,101.596,-90.17,0.0,top
R2,58.418,-90.17,0.0,top
R20,104.136,-90.17,0.0,top
R21,106.676,-90.17,0.0,top
R22,109.218,-90.17,0.0,top
R23,111.756,-90.17,0.0,top
R24,114.296,-90.17,0.0,top
R25,116.836,-90.17,0.0,top
R26,119.376,-90.17,0.0,top
R27,121.916,-90.17,0.0,top
R28,124.456,-90.17,0.0,top
R29,126.996,-90.17,0.0,top
R3,60.958,-90.17,0.0,top
R30,129.536,-90.17,0.0,top
R31,132.076,-90.17,0.0,top
R32,134.616,-90.17,0.0,top
R33,76.2,-97.409,0.0,top
R34,78.74,-97.409,0.0,top
R35,81.278,-97.409,0.0,top
R36,83.818,-97.409,0.0,top
R37,86.36,-97.409,0.0,top
R38,88.898,-97.409,0.0,top
R39,91.44,-97.409,0.0,top
R4,63.498,-90.17,0.0,top
R40,93.978,-97.409,0.0,top
R41,96.518,-97.409,0.0,top
R42,99.058,-97.409,0.0,top
R43,101.598,-97.409,0.0,top
R44,104.138,-97.409,0.0,top
R45,114.298,-97.028,0.0,top
R46,116.838,-97.028,0.0,top
R47,119.378,-97.028,0.0,top
R48,121.918,-97.028,0.0,top
R49,126.998,-97.028,0.0,top
R5,66.038,-90.17,0.0,top
R50,129.538,-97.028,0.0,top
R51,132.078,-97.028,0.0,top
R52,134.618,-97.028,0.0,top
R53,55.878,-97.4575,0.0,top
R54,66.038,-97.409,0.0,top
R55,143.385,-104.775,180.0,top
R6,68.578,-90.17,0.0,top
R7,71.118,-90.17,0.0,top
R8,73.658,-90.17,0.0,top
R9,76.196,-90.17,0.0,top
U10,106.615,-107.188,270.0,top
U2,53.275,-107.188,270.0,top
U3,95.947,-107.188,270.0,top
U4,117.283,-107.188,270.0,top
U5,85.279,-107.188,270.0,top
U6,127.951,-107.188,270.0,top
U7,138.619,-107.188,270.0,top
U8,63.943,-107.188,270.0,top
U9,74.611,-107.188,270.0,top
